hood_id,crime,year,rate
155,assault,2021,801.3395386
155,assault,2022,906.0223999
155,assault,2023,1223.313477
155,autotheft,2014,234.5037384
155,autotheft,2015,202.8140411
155,autotheft,2016,240.187088
155,autotheft,2017,192.954071
155,autotheft,2018,189.4981384
155,autotheft,2019,415.8881226
155,autotheft,2020,311.4518433
155,autotheft,2021,364.7889099
155,autotheft,2022,752.0578003
155,autotheft,2023,558.7249146
155,biketheft,2014,44.36557388
155,biketheft,2015,25.35175514
155,biketheft,2016,56.88641739
155,biketheft,2017,24.89729881
155,biketheft,2018,61.12842941
155,biketheft,2019,48.21891403
155,biketheft,2020,29.94729233
155,biketheft,2021,35.88087463
155,biketheft,2022,35.28789037
155,biketheft,2023,47.05052185
155,breakenter,2014,190.1381683
155,breakenter,2015,209.1519775
155,breakenter,2016,176.9799652
155,breakenter,2017,161.8324432
155,breakenter,2018,256.7394104
155,breakenter,2019,223.0124817
155,breakenter,2020,269.5256348
155,breakenter,2021,167.4440918
155,breakenter,2022,189.494873
155,breakenter,2023,435.2173157
155,homicide,2014,6.337938786
155,homicide,2015,0
155,homicide,2016,0
155,homicide,2017,0
155,homicide,2018,6.112843037
155,homicide,2019,12.05472851
155,homicide,2020,11.97891712
155,homicide,2021,0
155,homicide,2022,0
155,homicide,2023,NA
155,robbery,2014,190.1381683
155,robbery,2015,158.4484711
155,robbery,2016,69.52783966
155,robbery,2017,93.36486816
155,robbery,2018,207.8366699
155,robbery,2019,120.547287
155,robbery,2020,41.9262085
155,robbery,2021,65.78160858
155,robbery,2022,148.0428772
155,robbery,2023,164.6768188
155,shooting,2014,25.35175514
155,shooting,2015,12.67587757
155,shooting,2016,12.64142609
155,shooting,2017,31.12162399
155,shooting,2018,12.22568607
155,shooting,2019,42.19155121
155,shooting,2020,17.96837616
155,shooting,2021,0
155,shooting,2022,23.68685913
155,shooting,2023,17.64394569
155,theftfrommv,2014,367.6004639
155,theftfrommv,2015,323.2348938
155,theftfrommv,2016,391.8842163
155,theftfrommv,2017,317.4405518
155,theftfrommv,2018,385.1091003
155,theftfrommv,2019,433.9702148
155,theftfrommv,2020,455.1988525
155,theftfrommv,2021,328.90802
155,theftfrommv,2022,376.404164
155,theftfrommv,2023,411.6920471
155,theftover,2014,31.68969536
155,theftover,2015,69.71733093
155,theftover,2016,18.96213913
155,theftover,2017,80.91622162
155,theftover,2018,18.33852959
155,theftover,2019,42.19155121
155,theftover,2020,59.89458466
155,theftover,2021,29.90073013
155,theftover,2022,88.82572174
155,theftover,2023,99.98235321
154,assault,2014,1086.689331
154,assault,2015,1144.153442
154,assault,2016,1135.80249
154,assault,2017,1355.039917
154,assault,2018,1450.876831
154,assault,2019,1400.759766
154,assault,2020,1111.741943
154,assault,2021,1388.428223
154,assault,2022,1458.480347
154,assault,2023,2078.779785
154,autotheft,2014,324.5316467
154,autotheft,2015,345.2187195
154,autotheft,2016,251.8518524
154,autotheft,2017,258.3349609
154,autotheft,2018,369.9255371
154,autotheft,2019,441.5954285
154,autotheft,2020,487.2741089
154,autotheft,2021,544.946228
154,autotheft,2022,503.4109497
154,autotheft,2023,748.7327271
154,biketheft,2014,24.5857296
154,biketheft,2015,39.4535675
154,biketheft,2016,34.56790161
154,biketheft,2017,4.87424469
154,biketheft,2018,33.6295929
154,biketheft,2019,37.98670578
154,biketheft,2020,52.03898239
154,biketheft,2021,42.64796448
154,biketheft,2022,65.10719434
154,biketheft,2023,55.8061676
154,breakenter,2014,280.2773132
154,breakenter,2015,212.0629272
154,breakenter,2016,118.5185165
154,breakenter,2017,155.9758301
154,breakenter,2018,211.3860168
154,breakenter,2019,379.8670349
154,breakenter,2020,208.1559296
154,breakenter,2021,298.5357666
154,breakenter,2022,235.2387695
154,breakenter,2023,413.8957214
154,homicide,2014,0
154,homicide,2015,0
154,homicide,2016,4.938271523
154,homicide,2017,9.74848938
154,homicide,2018,0
154,homicide,2019,4.748338223
154,homicide,2020,0
154,homicide,2021,0
154,homicide,2022,9.409550667
154,homicide,2023,4.650513649
154,robbery,2014,201.6029968
154,robbery,2015,192.3361511
154,robbery,2016,177.777771
154,robbery,2017,238.8379822
154,robbery,2018,182.5606537
154,robbery,2019,194.6818542
154,robbery,2020,236.5408325
154,robbery,2021,137.4212189
154,robbery,2022,183.4862366
154,robbery,2023,139.5154114
154,shooting,2014,19.66858482
154,shooting,2015,19.72678375
154,shooting,2016,19.75308609
154,shooting,2017,29.24546623
154,shooting,2018,33.6295929
154,shooting,2019,14.24501419
154,shooting,2020,23.65408325
154,shooting,2021,42.64796448
154,shooting,2022,32.9334259
154,shooting,2023,27.9030838
154,theftfrommv,2014,368.7859497
154,theftfrommv,2015,202.1995392
154,theftfrommv,2016,212.3456726
154,theftfrommv,2017,302.2031555
154,theftfrommv,2018,562.0946655
154,theftfrommv,2019,565.0522461
154,theftfrommv,2020,747.4689941
154,theftfrommv,2021,535.4688721
154,theftfrommv,2022,492.9544715
154,theftfrommv,2023,339.4875183
154,theftover,2014,49.1714592
154,theftover,2015,19.72678375
